family,tf,pair,params,horizon_bars,N,MEAN,MEDIAN,WIN,STD,MEAN_LOW,MEAN_NORMAL,MEAN_STRESS,MEAN_EX99,MEAN_LONG,MEAN_SHORT,N_LONG,N_SHORT,YEARS_POS_NORMAL,N_YEARS
F4_h4trend_h1entry,H1,EURUSD,"{""ema_h4"": 20}",48,6255,-1.5561151079136708,-1.7999999999984695,0.4888888888888889,102.59934147477782,-2.556115107913671,-3.556115107913671,-5.056115107913671,-4.862225452196385,-4.089766839378228,0.9143353331228162,3088,3167,1,9
F4_h4trend_h1entry,H1,EURUSD,"{""ema_h4"": 50}",4,5661,0.0032503091326571494,-0.700000000000145,0.48330683624801274,31.52715952984342,-0.9967496908673429,-1.9967496908673428,-3.4967496908673428,-1.2167380442541094,0.0250734214390672,-0.016990125978906197,2724,2937,0,9
F4_h4trend_h1entry,H1,EURUSD,"{""ema_h4"": 50}",12,5660,-0.45959363957597593,-1.100000000000545,0.48586572438162545,53.3998802229192,-1.4595936395759759,-2.459593639575976,-3.959593639575976,-2.2842227378190287,-0.41182519280205476,-0.5038815117466903,2723,2937,1,9
F4_h4trend_h1entry,H1,EURUSD,"{""ema_h4"": 50}",24,5658,0.11265464828560542,-0.5999999999994898,0.49522799575821846,72.3864572475096,-0.8873453517143945,-1.8873453517143945,-3.3873453517143948,-2.1741653276200763,-0.5866960676221937,0.7605720122573866,2721,2937,1,9
F4_h4trend_h1entry,H1,EURUSD,"{""ema_h4"": 50}",48,5656,0.1596888260254537,-0.40000000000040004,0.4975247524752475,101.50335936656057,-0.8403111739745464,-1.8403111739745464,-3.340311173974546,-3.0465618860510877,-1.8656491357116451,2.0346952672795124,2719,2937,3,9
F1_tsmom,H1,GBPUSD,"{""lookback"": 24}",4,4592,0.852090592334492,0.10000000000065512,0.5023954703832753,38.48069633466699,-0.14790940766550797,-1.1479094076655079,-2.647909407665508,-0.6836339639243332,0.10539599651868728,1.600087183958171,2298,2294,2,9
F1_tsmom,H1,GBPUSD,"{""lookback"": 24}",12,4592,0.628723867595824,0.5000000000010552,0.5054442508710801,56.285584850210725,-0.371276132404176,-1.371276132404176,-2.871276132404176,-1.319357677078745,-0.41727589208006194,1.6765475152571958,2298,2294,1,9
F1_tsmom,H1,GBPUSD,"{""lookback"": 24}",24,4592,0.056293554006978,-0.04999999999921734,0.4993466898954704,78.89932066071512,-0.943706445993022,-1.943706445993022,-3.443706445993022,-2.4777826660800626,-2.104917319408158,2.22127288578901,2298,2294,1,9
F1_tsmom,H1,GBPUSD,"{""lookback"": 24}",48,4587,0.5315892740353066,0.9999999999998899,0.5051231741879224,111.93760842466224,-0.46841072596469335,-1.4684107259646932,-2.9684107259646932,-3.0965205901783857,-3.1329847494553547,4.200959860383939,2295,2292,3,9
F1_tsmom,H1,GBPUSD,"{""lookback"": 48}",4,3215,0.1585692068429328,-0.700000000000145,0.48771384136858476,40.43161019693746,-0.8414307931570673,-1.8414307931570673,-3.341430793157067,-1.4440289126335566,1.3556733167082395,-1.0333333333333257,1604,1611,2,9
F1_tsmom,H1,GBPUSD,"{""lookback"": 48}",12,3215,0.6299222395023185,-0.40000000000040004,0.49704510108864697,58.520325641757545,-0.3700777604976815,-1.3700777604976815,-2.8700777604976815,-1.5641106222501737,1.9478802992518554,-0.6823091247672395,1604,1611,2,9
F1_tsmom,H1,GBPUSD,"{""lookback"": 48}",24,3215,-0.4254121306376454,-0.30000000000196536,0.49891135303265943,83.23229523494741,-1.4254121306376453,-2.4254121306376453,-3.9254121306376453,-3.014802011313651,0.20492518703242027,-1.0530105524519127,1604,1611,1,9
F1_tsmom,H1,GBPUSD,"{""lookback"": 48}",48,3210,-0.06838006230530827,0.3500000000000725,0.5021806853582554,120.93465838546221,-1.0683800623053084,-2.0683800623053084,-3.5683800623053084,-4.197009757632999,-3.116989381636485,2.965071472964557,1601,1609,2,9
F1_tsmom,H1,GBPUSD,"{""lookback"": 96}",4,2190,1.197808219178093,0.2500000000005276,0.5027397260273972,43.07263506028801,0.197808219178093,-0.802191780821907,-2.3021917808219072,-0.5713099630996179,1.2112123974475988,1.1843549862763108,1097,1093,2,9
F1_tsmom,H1,GBPUSD,"{""lookback"": 96}",12,2190,0.4149315068493241,-0.20000000000020002,0.4977168949771689,62.11897205186305,-0.5850684931506759,-1.585068493150676,-3.085068493150676,-1.897416974169735,0.02716499544211254,0.8041171088746771,1097,1093,2,9
F1_tsmom,H1,GBPUSD,"{""lookback"": 96}",24,2190,0.2707305936073538,0.8500000000000174,0.502283105022831,86.81782129806864,-0.7292694063926461,-1.7292694063926461,-3.229269406392646,-2.5407287822877764,-1.8804922515952056,2.429826166514223,1097,1093,2,9
F1_tsmom,H1,GBPUSD,"{""lookback"": 96}",48,2185,-0.43780320366130937,0.5999999999994898,0.5011441647597255,119.75485980001532,-1.4378032036613093,-2.4378032036613093,-3.9378032036613093,-4.2933425797503295,-1.8869287020109575,1.0153070577452126,1094,1091,3,9
F1_tsmom,H1,GBPUSD,"{""lookback"": 192}",4,1484,-0.010849056603759236,-0.5000000000010552,0.488544474393531,35.32745990994252,-1.0108490566037593,-2.0108490566037593,-3.5108490566037593,-1.3228727025187041,0.002024291497976936,-0.02368775235528954,741,743,2,9
F1_tsmom,H1,GBPUSD,"{""lookback"": 192}",12,1484,0.3912398921833063,0.2999999999997449,0.5013477088948787,56.35714338333222,-0.6087601078166938,-1.6087601078166938,-3.1087601078166935,-1.4817562968005238,-0.6740890688259005,1.4537012113055439,741,743,1,9
F1_tsmom,H1,GBPUSD,"{""lookback"": 192}",24,1484,0.24703504043129934,2.00000000000089,0.5080862533692723,76.78658700581416,-0.7529649595687007,-1.7529649595687007,-3.2529649595687005,-2.0243022464261102,-0.0642375168690733,0.5574697173620886,741,743,3,9
F1_tsmom,H1,GBPUSD,"{""lookback"": 192}",48,1484,-0.02681940700803428,-0.6499999999987072,0.49528301886792453,104.96525267973085,-1.0268194070080343,-2.026819407008034,-3.526819407008034,-3.0001361470387504,1.3620782726046814,-1.4119784656796661,741,743,2,9
F2_donchian,H1,GBPUSD,"{""lookback"": 20}",4,3939,-0.5481340441736487,-1.80000000000069,0.46813912160446813,41.70916289768356,-1.5481340441736489,-2.548134044173649,-4.048134044173649,-2.142575019235702,-1.3493553378030003,0.2286500000000077,1939,2000,1,9
F2_donchian,H1,GBPUSD,"{""lookback"": 20}",12,3938,-1.457516505840536,-1.60000000000049,0.484255967496191,60.179041357202905,-2.4575165058405357,-3.4575165058405357,-4.957516505840536,-3.5438429964084213,-2.510784313725511,-0.4368999999999954,1938,2000,2,9
