,OPR,H02,O01
2024-06-10,55.375,,
2024-06-12,6.25,-6.5,
2024-06-14,-20.75,,
2024-06-19,,,-8.0
2024-06-27,-45.5,-71.25,
2024-06-28,,-182.0,
2024-07-02,,183.5,
2024-07-04,1.25,,
2024-07-05,,91.0,
2024-07-08,0.125,,
2024-07-12,,-18.0,
2024-07-15,26.625,,
2024-07-17,-1.5,161.5,243.75
2024-07-18,78.125,,
2024-07-24,,290.0,
2024-07-25,,-242.5,
2024-07-26,,,-43.5
2024-07-29,-1.5,,
2024-07-31,1.75,,133.25
2024-08-02,-96.5,,
2024-08-05,,-22.75,
2024-08-08,19.375,,
2024-08-12,-1.5,,
2024-08-13,7.25,,
2024-08-15,72.875,,
2024-08-19,2.0,,
2024-08-21,-1.5,,
2024-08-23,-4.125,,
2024-08-26,-7.25,,
2024-08-28,6.25,,
2024-08-29,,-144.5,
2024-08-30,0.75,,
2024-09-03,,323.75,
2024-09-05,,-201.0,
2024-09-06,,294.5,
2024-09-09,,,-56.0
2024-09-17,,,-24.0
2024-09-18,,,-11.5
2024-09-19,-1.5,,-48.5
2024-09-20,-5.625,,
2024-09-25,25.875,,
2024-09-26,108.0,,-23.0
2024-09-30,-5.875,,
2024-10-01,,67.0,
2024-10-03,,-197.25,
2024-10-04,,-133.25,
2024-10-07,-14.5,,
2024-10-09,0.0,,
2024-10-14,,-116.0,
2024-10-16,-15.0,-101.25,
2024-10-17,,30.5,-31.75
2024-10-21,14.0,,
2024-10-22,-37.5,,
2024-10-24,7.625,,-38.0
2024-10-25,,-190.0,
2024-10-28,-1.5,,
2024-10-30,-1.5,,
2024-10-31,33.75,142.5,
2024-11-01,4.125,,
2024-11-05,,44.0,
2024-11-06,,,-124.5
2024-11-07,-1.5,,
2024-11-13,-44.25,,
2024-11-14,2.5,,
2024-11-15,,,206.25
2024-11-19,8.375,,
2024-11-20,-37.25,-152.5,
2024-11-21,,-193.75,
2024-11-22,-1.5,,
2024-11-28,-0.125,,
2024-11-29,13.0,,
2024-12-02,,41.0,
2024-12-06,21.5,55.25,
2024-12-10,-2.25,,
2024-12-11,,98.75,
2024-12-13,-40.5,-75.0,
2024-12-16,-9.375,,
2024-12-19,,173.75,-45.25
2024-12-27,,-97.5,
2025-01-03,76.875,,
2025-01-06,-5.875,,
2025-01-10,,-77.25,
2025-01-13,,,-61.75
2025-01-14,34.625,,
2025-01-16,1.0,,
2025-01-20,-1.5,,
2025-01-22,32.25,,
2025-01-23,-20.5,,
2025-01-27,-69.0,-170.0,
2025-01-29,-1.5,,
2025-01-31,48.5,,
2025-02-03,,,-9.0
2025-02-04,55.25,63.75,
2025-02-05,2.5,,
2025-02-11,20.0,,
2025-02-18,21.75,,
2025-02-20,27.0,-115.0,
2025-02-21,60.75,406.75,
2025-02-24,,70.0,
2025-02-25,54.375,-75.0,
2025-02-27,,367.5,-117.25
2025-03-03,,394.0,
2025-03-04,-112.25,,
2025-03-13,-32.375,,
2025-03-14,-3.125,,
2025-03-19,82.25,,
2025-04-02,,131.0,
2025-04-09,,1746.0,
2025-04-10,-19.625,,311.75
2025-04-17,-31.75,,
2025-04-22,,,225.75
2025-04-23,-39.75,,
2025-04-24,120.875,,
2025-05-01,,,-9.25
2025-05-02,11.5,,
2025-05-08,-1.5,,
2025-05-09,1.25,,
2025-05-12,,,-21.5
2025-05-19,,131.0,-29.25
2025-05-22,,-126.75,
2025-05-26,,,-41.25
2025-05-29,,74.0,
2025-06-03,-0.875,,
2025-06-06,-58.75,,
2025-06-09,-30.75,,
2025-06-12,-7.5,,
2025-06-13,,,-6.75
2025-06-16,44.0,0.0,
2025-06-18,,,-37.75
2025-06-19,-0.5,,
2025-06-23,-23.25,,
2025-06-24,,,103.0
2025-06-30,-35.25,,
2025-07-01,14.625,,
2025-07-03,49.375,,
2025-07-04,,,-28.75
2025-07-08,-8.25,,
2025-07-09,,-113.0,
2025-07-10,,-95.75,
2025-07-15,,81.25,
2025-07-16,,-76.0,
2025-07-18,4.5,,
2025-07-21,,-50.25,
2025-07-22,,-88.75,
2025-07-23,28.875,-106.0,
2025-07-29,,,-55.5
2025-08-01,19.25,-20.5,-36.75
2025-08-04,,46.75,136.25
2025-08-12,23.625,,
2025-08-14,-2.875,,
2025-08-15,-1.75,,
2025-08-20,126.75,-178.75,
2025-08-25,-21.25,,
2025-08-29,38.0,6.25,
2025-09-02,-11.75,,
2025-09-04,-1.5,,
2025-09-05,-1.75,,
2025-09-08,-24.75,,
2025-09-17,-7.125,,
2025-09-18,,,-45.25
2025-09-22,35.25,,
2025-09-23,6.375,,
2025-09-25,,-63.0,
2025-10-02,,-36.25,
2025-10-08,-10.0,125.25,
2025-10-13,,,160.75
2025-10-14,,,-133.75
2025-10-15,,,-9.75
2025-10-17,1.75,,
2025-11-04,,-213.5,-87.5
2025-11-05,,85.75,
2025-11-06,-1.5,155.5,
2025-11-10,,,-87.5
2025-11-11,-1.5,,
2025-11-12,,-2.25,
2025-11-13,-1.5,,
2025-11-14,,192.5,
2025-11-17,-21.375,-165.0,
2025-11-18,34.5,-142.25,
2025-11-19,65.0,-353.5,
2025-11-25,-112.0,,
2025-11-28,1.0,,
2025-12-01,-16.625,,
2025-12-02,-8.0,,
2025-12-11,,-197.25,
2025-12-15,,90.5,
2025-12-16,,-154.25,
2025-12-19,,11.25,
2025-12-24,12.125,,
