status,dir,orig_entry_time,orig_exit_time,orig_dir,t_stop_ns,stop_confirmed,entry_ts_ns,entry_ref_px,entry_fill_px,sl,tp,risk_pips,exit_type,exit_ts_ns,exit_px,net_pips,r,be_moved
TRADE,1,2012-11-01 08:15:00,2012-11-01 13:30:00,-1,1351770229511000000,True,1351770234786000000,1.29654,1.29654,1.29536,1.29949,11.8,STOP,1351782739090000000,1.29532,-12.2,-1.0339,False
TRADE,1,2012-11-06 16:15:00,2012-11-06 17:30:00,-1,1352216711602000000,False,1352216719111000000,1.28064,1.28064,1.27973,1.282915,9.1,STOP,1352244873563000000,1.28074,1.0,0.10989,True
TRADE,-1,2012-11-14 14:30:00,2012-11-15 01:30:00,1,1352936708241000000,False,1352936714560000000,1.27318,1.27318,1.27325,1.273005,0.7,STOP,1352936750591000000,1.27325,-0.7,-1.0,False
INVALID_LEVELS,,2012-11-20 11:15:00,2012-11-20 15:30:00,1,1353419100570000000,,,,,,,,,,,,,
TRADE,1,2012-11-28 10:30:00,2012-11-28 18:30:00,-1,1354121101837000000,False,1354121109466000000,1.29216,1.29216,1.29148,1.29386,6.8,TARGET,1354123830802000000,1.29386,17.0,2.5,True
TRADE,1,2013-01-09 11:00:00,2013-01-10 10:45:00,-1,1357808400189000000,False,1357808405485000000,1.30649,1.30649,1.30607,1.3075399999999995,4.2,STOP,1357809808524000000,1.30658,0.9,0.21429,True
TRADE,1,2013-01-21 08:45:00,2013-01-22 05:00:00,-1,1358824502819000000,False,1358824508289000000,1.33133,1.33133,1.33128,1.3314549999999996,0.5,STOP,1358824511518000000,1.33127,-0.6,-1.2,False
SKIP_OVERLAP,,2013-01-21 09:45:00,2013-01-22 05:00:00,-1,,,,,,,,,,,,,,
TRADE,-1,2013-01-23 15:45:00,2013-01-23 16:15:00,1,1358951400381000000,False,1358951405480000000,1.33274,1.33274,1.33459,1.3281150000000004,18.5,TARGET,1358955309607000000,1.3281150000000004,46.25,2.5,True
TRADE,-1,2013-01-29 09:45:00,2013-01-29 11:45:00,1,1359453600297000000,False,1359453605853000000,1.34409,1.34409,1.34603,1.3392399999999998,19.4,STOP,1359469429627000000,1.34605,-19.6,-1.01031,False
