signal_date,entry_day,exit_day,direction,gross_pips,net_normal_pips,net_stress_pips
2014-01-10,2014-01-13,2014-01-20,-1,-21.90000000000083,-23.90000000000083,-25.90000000000083
2014-01-22,2014-01-23,2014-01-30,1,-237.59999999999906,-239.59999999999906,-241.59999999999906
2014-02-03,2014-02-04,2014-02-11,-1,-111.49999999999949,-113.49999999999949,-115.49999999999949
2014-03-06,2014-03-07,2014-03-14,1,-121.80000000000035,-123.80000000000035,-125.80000000000035
2014-03-19,2014-03-20,2014-03-27,1,-32.69999999999982,-34.69999999999982,-36.69999999999982
2014-04-04,2014-04-07,2014-04-14,-1,173.39999999999947,171.39999999999947,169.39999999999947
2014-04-17,2014-04-18,2014-04-25,1,-12.000000000000455,-14.000000000000455,-16.000000000000455
2014-06-13,2014-06-16,2014-06-23,1,4.899999999999238,2.8999999999992383,0.8999999999992383
2014-07-03,2014-07-04,2014-07-11,1,-88.40000000000003,-90.40000000000003,-92.40000000000003
2014-07-17,2014-07-18,2014-07-25,-1,-65.2000000000001,-67.2000000000001,-69.2000000000001
2014-07-31,2014-08-01,2014-08-08,-1,70.49999999999983,68.49999999999983,66.49999999999983
2014-08-22,2014-08-25,2014-09-01,1,-4.699999999999704,-6.699999999999704,-8.699999999999704
2014-09-02,2014-09-03,2014-09-10,1,111.40000000000043,109.40000000000043,107.40000000000043
2014-09-17,2014-09-18,2014-09-25,1,59.40000000000083,57.40000000000083,55.40000000000083
2014-10-01,2014-10-02,2014-10-09,-1,84.60000000000036,82.60000000000036,80.60000000000036
2014-10-14,2014-10-15,2014-10-22,-1,5.5999999999997385,3.5999999999997385,1.5999999999997385
2014-10-29,2014-10-30,2014-11-06,1,592.1000000000006,590.1000000000006,588.1000000000006
2014-11-07,2014-11-10,2014-11-17,-1,-214.4999999999996,-216.4999999999996,-218.4999999999996
2014-11-28,2014-12-01,2014-12-08,-1,-282.5000000000003,-284.5000000000003,-286.5000000000003
2014-12-10,2014-12-11,2014-12-18,-1,-81.3999999999993,-83.3999999999993,-85.3999999999993
2014-12-18,2014-12-19,2014-12-29,1,152.4000000000001,150.4000000000001,148.4000000000001
2014-12-30,2014-12-31,2015-01-08,-1,10.500000000000398,8.500000000000398,6.500000000000398
2015-01-09,2015-01-12,2015-01-19,-1,84.0999999999994,82.0999999999994,80.0999999999994
2015-01-20,2015-01-21,2015-01-28,1,-92.80000000000115,-94.80000000000115,-96.80000000000115
2015-01-28,2015-01-29,2015-02-05,-1,26.10000000000099,24.10000000000099,22.10000000000099
2015-02-06,2015-02-09,2015-02-16,1,-57.800000000000296,-59.800000000000296,-61.800000000000296
2015-02-17,2015-02-18,2015-02-25,1,-27.700000000000102,-29.700000000000102,-31.700000000000102
2015-02-26,2015-02-27,2015-03-06,1,71.49999999999892,69.49999999999892,67.49999999999892
2015-03-06,2015-03-09,2015-03-16,1,57.20000000000027,55.20000000000027,53.20000000000027
2015-03-17,2015-03-18,2015-03-25,1,-163.40000000000003,-165.40000000000003,-167.40000000000003
2015-03-27,2015-03-30,2015-04-06,-1,18.900000000000716,16.900000000000716,14.900000000000716
2015-04-20,2015-04-21,2015-04-28,1,-17.499999999999716,-19.499999999999716,-21.499999999999716
2015-05-06,2015-05-07,2015-05-14,1,-28.900000000000148,-30.900000000000148,-32.90000000000015
2015-05-19,2015-05-20,2015-05-27,1,238.30000000000098,236.30000000000098,234.30000000000098
2015-06-01,2015-06-02,2015-06-09,1,-28.600000000000136,-30.600000000000136,-32.600000000000136
2015-06-10,2015-06-11,2015-06-18,1,79.60000000000065,77.60000000000065,75.60000000000065
2015-06-22,2015-06-23,2015-06-30,1,-81.60000000000025,-83.60000000000025,-85.60000000000025
2015-07-01,2015-07-02,2015-07-09,1,-245.90000000000032,-247.90000000000032,-249.90000000000032
2015-07-09,2015-07-10,2015-07-17,1,282.00000000000074,280.00000000000074,278.00000000000074
2015-07-22,2015-07-23,2015-07-30,1,-4.5000000000001705,-6.5000000000001705,-8.50000000000017
2015-07-31,2015-08-03,2015-08-10,-1,-27.899999999999636,-29.899999999999636,-31.899999999999636
2015-08-11,2015-08-12,2015-08-19,-1,72.40000000000038,70.40000000000038,68.40000000000038
2015-08-19,2015-08-20,2015-08-27,-1,389.00000000000006,387.00000000000006,385.00000000000006
2015-08-28,2015-08-31,2015-09-07,1,-274.3000000000009,-276.3000000000009,-278.3000000000009
2015-09-08,2015-09-09,2015-09-16,1,63.10000000000002,61.10000000000002,59.10000000000002
2015-09-17,2015-09-18,2015-09-25,-1,-11.999999999999034,-13.999999999999034,-15.999999999999034
2015-09-29,2015-09-30,2015-10-07,-1,-47.49999999999943,-49.49999999999943,-51.49999999999943
2015-10-07,2015-10-08,2015-10-15,1,-117.49999999999972,-119.49999999999972,-121.49999999999972
2015-10-15,2015-10-16,2015-10-23,1,180.4000000000002,178.4000000000002,176.4000000000002
2015-10-23,2015-10-26,2015-11-02,1,-108.29999999999984,-110.29999999999984,-112.29999999999984
2015-11-03,2015-11-04,2015-11-11,1,207.3999999999998,205.3999999999998,203.3999999999998
2015-11-13,2015-11-16,2015-11-23,-1,-58.29999999999984,-60.29999999999984,-62.29999999999984
2015-12-11,2015-12-14,2015-12-21,-1,-10.999999999999943,-12.999999999999943,-14.999999999999943
2015-12-22,2015-12-23,2015-12-31,1,-54.39999999999969,-56.39999999999969,-58.39999999999969
2016-01-04,2016-01-05,2016-01-12,-1,169.40000000000026,167.40000000000026,165.40000000000026
2016-01-15,2016-01-18,2016-01-25,-1,-198.69999999999948,-200.69999999999948,-202.69999999999948
2016-01-26,2016-01-27,2016-02-03,-1,-152.79999999999916,-154.79999999999916,-156.79999999999916
2016-02-03,2016-02-04,2016-02-11,-1,456.0000000000002,454.0000000000002,452.0000000000002
2016-02-11,2016-02-12,2016-02-19,-1,-84.39999999999941,-86.39999999999941,-88.39999999999941
2016-02-19,2016-02-22,2016-02-29,1,137.5,135.5,133.5
2016-03-01,2016-03-02,2016-03-09,1,-136.5000000000009,-138.5000000000009,-140.5000000000009
2016-03-10,2016-03-11,2016-03-18,1,-174.90000000000094,-176.90000000000094,-178.90000000000094
2016-03-18,2016-03-21,2016-03-28,-1,-163.2000000000005,-165.2000000000005,-167.2000000000005
2016-03-29,2016-03-30,2016-04-06,-1,235.9000000000009,233.9000000000009,231.9000000000009
2016-04-07,2016-04-08,2016-04-15,-1,-117.6000000000002,-119.6000000000002,-121.6000000000002
2016-04-15,2016-04-18,2016-04-25,-1,-365.39999999999964,-367.39999999999964,-369.39999999999964
2016-04-27,2016-04-28,2016-05-05,-1,443.6000000000007,441.6000000000007,439.6000000000007
2016-05-05,2016-05-06,2016-05-13,-1,-174.09999999999997,-176.09999999999997,-178.09999999999997
2016-05-16,2016-05-17,2016-05-24,1,22.59999999999991,20.59999999999991,18.59999999999991
2016-05-26,2016-05-27,2016-06-03,-1,89.69999999999914,87.69999999999914,85.69999999999914
2016-06-03,2016-06-06,2016-06-13,-1,-25.0,-27.0,-29.0
2016-06-15,2016-06-16,2016-06-23,-1,161.19999999999948,159.19999999999948,157.19999999999948
2016-06-23,2016-06-24,2016-07-01,1,-293.3000000000007,-295.3000000000007,-297.3000000000007
2016-07-08,2016-07-11,2016-07-18,1,473.39999999999947,471.39999999999947,469.39999999999947
2016-07-20,2016-07-21,2016-07-28,1,-148.19999999999993,-150.19999999999993,-152.19999999999993
2016-07-29,2016-08-01,2016-08-08,-1,28.400000000000603,26.400000000000603,24.400000000000603
2016-08-09,2016-08-10,2016-08-17,-1,156.49999999999977,154.49999999999977,152.49999999999977
2016-08-18,2016-08-19,2016-08-26,-1,-61.49999999999949,-63.49999999999949,-65.49999999999949
2016-08-26,2016-08-29,2016-09-05,1,199.50000000000045,197.50000000000045,195.50000000000045
2016-09-06,2016-09-07,2016-09-14,-1,-54.89999999999924,-56.89999999999924,-58.89999999999924
2016-09-14,2016-09-15,2016-09-22,-1,207.3999999999998,205.3999999999998,203.3999999999998
2016-09-30,2016-10-03,2016-10-10,1,202.20000000000056,200.20000000000056,198.20000000000056
2016-10-11,2016-10-12,2016-10-19,1,36.40000000000043,34.40000000000043,32.40000000000043
2016-11-01,2016-11-02,2016-11-09,-1,-106.79999999999978,-108.79999999999978,-110.79999999999978
2016-11-09,2016-11-10,2016-11-17,1,341.10000000000014,339.10000000000014,337.10000000000014
2016-11-17,2016-11-18,2016-11-25,1,315.69999999999965,313.69999999999965,311.69999999999965
2016-12-14,2016-12-15,2016-12-22,1,51.200000000000045,49.200000000000045,47.200000000000045
2016-12-27,2016-12-28,2017-01-04,1,33.499999999999375,31.499999999999375,29.499999999999375
2017-01-05,2017-01-06,2017-01-13,-1,65.39999999999964,63.399999999999636,61.399999999999636
2017-01-13,2017-01-16,2017-01-23,1,9.199999999999875,7.199999999999875,5.199999999999875
2017-01-23,2017-01-24,2017-01-31,-1,-105.4000000000002,-107.4000000000002,-109.4000000000002
2017-01-31,2017-02-01,2017-02-08,-1,41.70000000000016,39.70000000000016,37.70000000000016
2017-02-09,2017-02-10,2017-02-17,1,0.39999999999906777,-1.6000000000009322,-3.6000000000009322
2017-02-23,2017-02-24,2017-03-03,-1,-183.70000000000033,-185.70000000000033,-187.70000000000033
2017-03-08,2017-03-09,2017-03-16,1,-85.29999999999944,-87.29999999999944,-89.29999999999944
2017-03-20,2017-03-21,2017-03-28,-1,186.5000000000009,184.5000000000009,182.5000000000009
2017-03-28,2017-03-29,2017-04-05,1,-42.39999999999924,-44.39999999999924,-46.39999999999924
2017-04-07,2017-04-10,2017-04-17,1,-227.80000000000058,-229.80000000000058,-231.80000000000058
2017-04-18,2017-04-19,2017-04-26,-1,-265.70000000000107,-267.70000000000107,-269.70000000000107
2017-04-27,2017-04-28,2017-05-05,-1,-121.69999999999987,-123.69999999999987,-125.69999999999987
2017-05-09,2017-05-10,2017-05-17,1,-85.79999999999899,-87.79999999999899,-89.79999999999899
2017-05-17,2017-05-18,2017-05-25,-1,-68.99999999999977,-70.99999999999977,-72.99999999999977
2017-06-05,2017-06-06,2017-06-13,1,-52.09999999999866,-54.09999999999866,-56.09999999999866
2017-06-16,2017-06-19,2017-06-26,-1,-27.599999999999625,-29.599999999999625,-31.599999999999625
2017-06-28,2017-06-29,2017-07-06,-1,-97.89999999999992,-99.89999999999992,-101.89999999999992
2017-07-26,2017-07-27,2017-08-03,-1,48.49999999999994,46.49999999999994,44.49999999999994
2017-08-09,2017-08-10,2017-08-17,-1,-15.30000000000058,-17.30000000000058,-19.30000000000058
2017-09-05,2017-09-06,2017-09-13,-1,-147.30000000000132,-149.30000000000132,-151.30000000000132
2017-09-20,2017-09-21,2017-09-28,1,61.299999999999955,59.299999999999955,57.299999999999955
2017-10-06,2017-10-09,2017-10-16,1,-77.30000000000103,-79.30000000000103,-81.30000000000103
2017-10-16,2017-10-17,2017-10-24,1,124.39999999999998,122.39999999999998,120.39999999999998
2017-10-27,2017-10-30,2017-11-06,-1,-25.0,-27.0,-29.0
2017-11-10,2017-11-13,2017-11-20,1,-138.80000000000052,-140.80000000000052,-142.80000000000052
2017-11-20,2017-11-21,2017-11-28,1,-153.30000000000013,-155.30000000000013,-157.30000000000013
2017-11-29,2017-11-30,2017-12-07,1,35.199999999998965,33.199999999998965,31.199999999998965
2017-12-13,2017-12-14,2017-12-21,-1,-85.39999999999992,-87.39999999999992,-89.39999999999992
2017-12-27,2017-12-28,2018-01-05,-1,61.19999999999948,59.19999999999948,57.19999999999948
2018-01-16,2018-01-17,2018-01-24,1,-12.999999999999545,-14.999999999999545,-16.999999999999545
2018-01-26,2018-01-29,2018-02-05,1,147.80000000000086,145.80000000000086,143.80000000000086
2018-02-05,2018-02-06,2018-02-13,-1,43.899999999999295,41.899999999999295,39.899999999999295
2018-02-14,2018-02-15,2018-02-22,1,78.20000000000107,76.20000000000107,74.20000000000107
2018-02-27,2018-02-28,2018-03-07,1,-120.8999999999989,-122.8999999999989,-124.8999999999989
2018-03-15,2018-03-16,2018-03-23,1,-102.79999999999916,-104.79999999999916,-106.79999999999916
2018-03-26,2018-03-27,2018-04-03,1,48.100000000000875,46.100000000000875,44.100000000000875
2018-04-13,2018-04-16,2018-04-23,1,31.000000000000227,29.000000000000227,27.000000000000227
2018-04-23,2018-04-24,2018-05-01,1,64.30000000000007,62.30000000000007,60.30000000000007
2018-05-09,2018-05-10,2018-05-17,1,64.60000000000008,62.60000000000008,60.60000000000008
2018-05-21,2018-05-22,2018-05-29,1,-160.89999999999947,-162.89999999999947,-164.89999999999947
2018-05-29,2018-05-30,2018-06-06,-1,-101.60000000000053,-103.60000000000053,-105.60000000000053
2018-06-13,2018-06-14,2018-06-21,1,3.499999999999659,1.499999999999659,-0.5000000000003411
2018-07-02,2018-07-03,2018-07-10,1,-7.600000000000762,-9.600000000000762,-11.600000000000762
2018-07-17,2018-07-18,2018-07-25,1,-166.29999999999967,-168.29999999999967,-170.29999999999967
2018-07-25,2018-07-26,2018-08-02,1,74.50000000000045,72.50000000000045,70.50000000000045
2018-08-03,2018-08-06,2018-08-13,-1,79.20000000000016,77.20000000000016,75.20000000000016
2018-08-27,2018-08-28,2018-09-04,1,-4.699999999999704,-6.699999999999704,-8.699999999999704
2018-09-04,2018-09-05,2018-09-12,1,22.700000000000387,20.700000000000387,18.700000000000387
2018-09-18,2018-09-19,2018-09-26,1,60.39999999999992,58.39999999999992,56.39999999999992
2018-10-03,2018-10-04,2018-10-11,1,-224.30000000000092,-226.30000000000092,-228.30000000000092
2018-10-19,2018-10-22,2018-10-29,1,-68.39999999999975,-70.39999999999975,-72.39999999999975
2018-10-31,2018-11-01,2018-11-08,1,60.20000000000039,58.20000000000039,56.20000000000039
2018-11-09,2018-11-12,2018-11-19,-1,103.49999999999966,101.49999999999966,99.49999999999966
2018-12-03,2018-12-04,2018-12-11,1,-31.90000000000026,-33.90000000000026,-35.90000000000026
2018-12-11,2018-12-12,2018-12-19,1,-85.29999999999944,-87.29999999999944,-89.29999999999944
2018-12-20,2018-12-21,2018-12-31,1,-102.59999999999962,-104.59999999999962,-106.59999999999962
