entry_i,year,stop_pips,pip_eur_at_minlot,risk_eur_minlot,risk_pct_minlot,lot_for_05,lot_05_rounded,lot_for_1,lot_1_rounded,r_multiple
4321,2020,8.29529418574267,0.11125303792460296,0.9228766786421676,0.18457533572843351,0.02708920983547077,0.02,0.05417841967094154,0.05,-1.108495248010252
4502,2020,16.10788004252683,0.1124319618890919,1.8110405550554405,0.3622081110110881,0.013804218757119268,0.01,0.027608437514238537,0.02,-0.9188960609126038
4527,2020,14.43148743091413,0.11141075678248452,1.6078229361750564,0.3215645872350113,0.01554897584647844,0.01,0.03109795169295688,0.03,2.924161504627848
4585,2020,8.81740932463987,0.11059630896975327,0.9751729259806545,0.1950345851961309,0.025636478755662204,0.02,0.05127295751132441,0.05,-1.1020707973128265
4639,2020,9.06291210529971,0.11062902614626752,1.002621140258526,0.20052422805170517,0.0249346428039147,0.02,0.0498692856078294,0.04,-1.2578738343202107
4657,2020,8.5253880136284,0.11108871921508519,0.9470744352456181,0.18941488704912363,0.026397080387368283,0.02,0.052794160774736566,0.05,-1.3958308971953446
4737,2020,8.649933590043169,0.11127923492093551,0.9625579920169048,0.19251159840338095,0.025972461095685278,0.02,0.051944922191370556,0.05,-1.1040470415906483
4782,2020,6.79162025161075,0.11101474496599863,0.7539699901384789,0.15079399802769577,0.03315781838400271,0.03,0.06631563676800542,0.06,2.2030506844248756
4969,2020,6.66892522579039,0.11118310580690453,0.7414718189973876,0.1482943637994775,0.03371672308976598,0.03,0.06743344617953197,0.06,-1.134954279667026
4993,2020,7.07310412730754,0.1114834212545105,0.7885338470016433,0.15770676940032866,0.03170440951274461,0.03,0.06340881902548921,0.06,-1.1272425774880863
5093,2020,7.5842640317792,0.11283285821884505,0.8557541881920285,0.17115083763840572,0.029213996665114865,0.02,0.05842799333022973,0.05,-1.1186667547738913
5176,2020,12.09582816258942,0.11139733985629108,1.3474430806712705,0.26948861613425407,0.018553659415094164,0.01,0.03710731883018833,0.03,-1.074405818923835
5200,2020,13.492171917696929,0.11140195675251766,1.5030543524728064,0.30061087049456126,0.016632798380757364,0.01,0.03326559676151473,0.03,0.6703709192338172
5259,2020,18.05648007909396,0.11067725442029192,1.9984416396488147,0.39968832792976294,0.01250974734713456,0.01,0.02501949469426912,0.02,-1.0498436016353672
5340,2020,16.28319762183757,0.11311236447476228,1.8418309842158735,0.3683661968431747,0.013573449580469134,0.01,0.02714689916093827,0.02,4.867206222193696
5385,2020,14.472974142915248,0.11185162703794684,1.6188257059632045,0.3237651411926409,0.015443293189568516,0.01,0.03088658637913703,0.03,-1.062184868922734
5531,2020,11.87170312418937,0.11367337325886548,1.3494965404544177,0.2698993080908835,0.018525427261622856,0.01,0.03705085452324571,0.03,-1.0758105210841074
5583,2020,8.49983726576719,0.11341736533823361,0.9640291484870501,0.19280582969741003,0.025932825827139218,0.02,0.051865651654278436,0.05,2.733325431697963
5698,2020,10.510085112843159,0.1152105986751656,1.2108731979776057,0.24217463959552113,0.020646257627763894,0.02,0.04129251525552779,0.04,-1.0856320372610222
5716,2020,10.68400138754423,0.11458121754459923,1.2241858872330054,0.24483717744660105,0.02042173517986458,0.02,0.04084347035972916,0.04,-1.0842381021261518
5744,2020,9.184297991271979,0.11534910835451746,1.0594005841554086,0.2118801168310817,0.023598250155705623,0.02,0.047196500311411246,0.04,-1.0979933361108254
5817,2020,10.01441625033629,0.11586840414617074,1.160354429381945,0.23207088587638902,0.021545141180110014,0.02,0.04309028236022003,0.04,-1.0898704405232218
5864,2020,5.91784084305572,0.11644811366036285,0.68912140311609,0.13782428062321803,0.036278077980097904,0.03,0.07255615596019581,0.07,-1.1520824949281676
5883,2020,8.13558484057287,0.11575857974567182,0.9417637465451333,0.18835274930902665,0.02654593584825565,0.02,0.0530918716965113,0.05,-1.1106251139453773
5953,2020,10.00056574928883,0.11681414228755345,1.168207510393459,0.2336415020786918,0.021400307546028233,0.02,0.04280061509205647,0.04,-1.089994908544429
6033,2020,10.81270160613091,0.11839322446378044,1.280150608314536,0.25603012166290723,0.01952895216986644,0.01,0.03905790433973288,0.03,-1.0832354422403634
6056,2020,10.684317987030969,0.1176503539728991,1.2570137931332062,0.25140275862664124,0.019888405470623774,0.01,0.03977681094124755,0.03,-1.0842356059687206
6130,2020,7.3632399218827596,0.11764195005210948,0.8662259031118301,0.17324518062236605,0.028860831695508057,0.02,0.057721663391016115,0.05,-1.1222288027482117
