entry_i,entry,stop,atr_entry,d,sig_i,exit_i,exit,reason,gross_pips,net_pips,year
5259,105.204,105.02343519920906,0.1805648007909396,2020-11-04,5258,5260,105.02343519920906,stop,-18.056480079093262,-18.95648007909326,2020
5340,104.212,104.04916802378163,0.1628319762183757,2020-11-09,5339,5353,105.01353680782218,stop,80.1536807822174,79.2536807822174,2020
5385,105.517,105.37227025857085,0.1447297414291525,2020-11-11,5384,5386,105.37227025857085,stop,-14.472974142914552,-15.372974142914552,2020
5531,104.126,104.0072829687581,0.11871703124189378,2020-11-19,5530,5532,104.0072829687581,stop,-11.871703124189992,-12.771703124189992,2020
5583,104.053,103.96800162734233,0.08499837265767193,2020-11-23,5582,5600,104.29432821363815,stop,24.132821363815538,23.23282136381554,2020
5698,104.042,103.93689914887157,0.10510085112843164,2020-11-30,5697,5699,103.93689914887157,stop,-10.51008511284266,-11.41008511284266,2020
5716,104.441,104.33415998612456,0.1068400138754423,2020-12-01,5715,5719,104.33415998612456,stop,-10.684001387544129,-11.584001387544129,2020
5744,104.57000000000001,104.47815702008728,0.0918429799127198,2020-12-02,5743,5750,104.47815702008728,stop,-9.184297991272672,-10.084297991272672,2020
5817,104.233,104.13285583749663,0.10014416250336299,2020-12-07,5816,5821,104.13285583749663,stop,-10.014416250336922,-10.914416250336922,2020
5864,104.229,104.16982159156944,0.0591784084305572,2020-12-09,5863,5865,104.16982159156944,stop,-5.917840843055444,-6.8178408430554445,2020
5883,104.436,104.35464415159427,0.08135584840572871,2020-12-10,5882,5893,104.35464415159427,stop,-8.135584840573529,-9.035584840573529,2020
5953,104.112,104.01199434250711,0.10000565749288833,2020-12-15,5952,5962,104.01199434250711,stop,-10.000565749288626,-10.900565749288626,2020
6033,103.47,103.3618729839387,0.1081270160613091,2020-12-18,6032,6035,103.3618729839387,stop,-10.812701606130304,-11.712701606130304,2020
