group,kind,sig_i,entry_i,exit_i,reason,entry_fill,exit_px,net_pips,stop_pips,r_mult,lot,pnl_eur
104,BASE,6649,6650,6650,stop,103.847,103.779084,-6.791617981713216,6.791617981713216,-1.0,0.03,-2.388509237644092
105,BASE,6707,6708,6739,stop,103.844,104.175504,33.150351996803806,6.594030563756803,5.02732762250303,0.03,11.606198531030518
105,ADD1,6709,6710,6739,stop,103.991,104.175504,18.45035199680325,7.550465128953476,2.4436046894716985,0.02,4.292834010050614
105,ADD2,6710,6711,6739,stop,104.101,104.175504,7.450351996803306,8.596860476885126,0.8666363746201879,0.02,1.728543500220895
106,BASE,6744,6745,6756,stop,104.468,104.623183,15.518334439006765,9.447400823843566,1.6426035825474068,0.02,3.596918313123572
106,ADD1,6752,6753,6756,stop,104.645,104.623183,-2.181665560992485,8.791517265872528,-0.24815575002751952,0.02,-0.5040518114883511
106,ADD2,6753,6754,6754,stop,104.876,104.772079,-10.392123175452639,10.392123175452639,-1.0,0.02,-2.4033881109701785
107,BASE,6778,6779,6817,stop,104.913,104.9279,1.4899879496624635,9.100608071116767,0.1637239993216873,0.02,0.3431846428417951
107,ADD1,6803,6804,6813,stop,105.037,104.954851,-8.214940783147995,8.214940783147995,-1.0,0.01,-0.9407663006344532
107,ADD2,6806,6807,6808,stop,105.167,105.076766,-9.023405576012067,9.023405576012067,-1.0,0.02,-2.065190913876594
108,BASE,6843,6844,6872,stop,105.125,105.441758,31.675825904831356,6.066107085689509,5.221771633335895,0.03,10.863653407721698
108,ADD1,6846,6847,6848,stop,105.206,105.146315,-5.968526700895893,5.968526700895893,-1.0,0.02,-1.3626962419116926
108,ADD2,6850,6851,6853,stop,105.295,105.229365,-6.563486336534652,6.563486336534652,-1.0,0.03,-2.2404708450145554
109,BASE,6875,6876,6877,stop,105.622,105.537615,-8.43854328345941,8.43854328345941,-1.0,0.02,-1.9131687238289157
110,BASE,6984,6985,6994,stop,104.758,104.931211,17.32114945072709,6.618109704450603,2.6172351659687383,0.03,6.013657705377854
110,ADD1,6986,6987,6988,stop,104.835,104.769385,-6.561533367612071,6.561533367612071,-1.0,0.02,-1.5173405066866634
110,ADD2,6991,6992,6994,stop,104.933,104.931211,-0.17885054927404553,7.303263723190412,-0.024489126512867474,0.02,-0.04126073368091028
111,BASE,7015,7016,7041,stop,105.19,105.369836,17.9835814650815,7.991543167653958,2.2503265123900795,0.02,4.147410514160696
111,ADD1,7017,7018,7019,stop,105.386,105.297129,-8.887095894559138,8.887095894559138,-1.0,0.02,-2.047417792818965
111,ADD2,7021,7022,7025,stop,105.397,105.306086,-9.09138499178681,9.09138499178681,-1.0,0.02,-2.092532700486823
112,BASE,7135,7136,7137,stop,105.825,105.71544,-10.955976659860767,10.955976659860767,-1.0,0.01,-1.2550844511159587
113,BASE,7177,7178,7226,stop,105.426,105.970331,54.43312236702127,11.057927069332152,4.92254307934306,0.01,6.27506124382693
113,ADD1,7183,7184,7226,stop,105.572,105.970331,39.83312236702119,10.435852753688835,3.8169494441114162,0.02,9.166926010508602
113,ADD2,7185,7186,7226,stop,105.782,105.970331,18.833122367021815,11.413056711089098,1.6501383322421652,0.01,2.165223352239011
