DATE,CONTRACT,SIDE,SIGNAL_TS,ACTIVATION_TS,ENTRY_TS,ENTRY_BID,ENTRY_ASK,ENTRY_SPREAD,ENTRY,STOP,ATR,Z,EXPLAIN,EXIT_TS,EXIT_BID,EXIT_ASK,EXIT_SPREAD,EXIT_REASON,EXIT,PNL_BASE_PTS,PNL_CONSERVATIVE_PTS,PNL_STRESS_PTS,ENTRY_BASE,ENTRY_CONSERVATIVE,ENTRY_STRESS,EXIT_BASE,EXIT_CONSERVATIVE,EXIT_STRESS
2020-04-06,NQM0,LONG,2020-04-06 13:35:00+00:00,2020-04-06 13:40:00+00:00,2020-04-06 13:40:00+00:00,7764.25,7765.25,1.0,"{'BASE': 7765.25, 'CONSERVATIVE': 7765.5, 'STRESS': 7765.75}",7750.0,409.0,1.1313362601265229,"O01 LONG entry 7765.25, stop 7750.00, chandelier 7690.00, exit 8053.25 (EOD); paper PnL BASE +287.00 pts",2020-04-06 20:00:00+00:00,8053.25,8053.25,0.0,EOD,"{'BASE': 8053.25, 'CONSERVATIVE': 8053.0, 'STRESS': 8052.75}",287.0,286.5,286.0,7765.25,7765.5,7765.75,8053.25,8053.0,8052.75
2020-06-11,NQM0,SHORT,2020-06-11 13:35:00+00:00,2020-06-11 13:40:00+00:00,2020-06-11 13:40:00+00:00,9890.25,9890.75,0.5,"{'BASE': 9890.25, 'CONSERVATIVE': 9890.0, 'STRESS': 9889.75}",9954.5,164.44642857142858,-2.5883485065932192,"O01 SHORT entry 9890.25, stop 9954.50, chandelier 10042.70, exit 9955.00 (STOP); paper PnL BASE -65.75 pts",2020-06-11 14:12:27+00:00,9954.75,9955.0,0.25,STOP,"{'BASE': 9955.0, 'CONSERVATIVE': 9955.25, 'STRESS': 9955.5}",-65.75,-66.25,-66.75,9890.25,9890.0,9889.75,9955.0,9955.25,9955.5
2020-06-12,NQM0,LONG,2020-06-12 13:35:00+00:00,2020-06-12 13:40:00+00:00,2020-06-12 13:40:00+00:00,9806.25,9807.0,0.75,"{'BASE': 9807.0, 'CONSERVATIVE': 9807.25, 'STRESS': 9807.5}",9776.0,193.53571428571428,2.7611629674149722,"O01 LONG entry 9807.00, stop 9776.00, chandelier 9655.71, exit 9775.25 (STOP); paper PnL BASE -32.75 pts",2020-06-12 14:14:58+00:00,9775.25,9776.0,0.75,STOP,"{'BASE': 9775.25, 'CONSERVATIVE': 9775.0, 'STRESS': 9774.75}",-32.75,-33.25,-33.75,9807.0,9807.25,9807.5,9775.25,9775.0,9774.75
2020-06-15,NQM0,SHORT,2020-06-15 13:35:00+00:00,2020-06-15 13:40:00+00:00,2020-06-15 13:40:00+00:00,9553.5,9554.5,1.0,"{'BASE': 9553.5, 'CONSERVATIVE': 9553.25, 'STRESS': 9553.0}",9570.5,207.26785714285714,-2.043101746210933,"O01 SHORT entry 9553.50, stop 9570.50, chandelier 9721.27, exit 9572.50 (STOP); paper PnL BASE -20.00 pts",2020-06-15 13:55:42+00:00,9571.0,9572.5,1.5,STOP,"{'BASE': 9572.5, 'CONSERVATIVE': 9572.75, 'STRESS': 9573.0}",-20.0,-20.5,-21.0,9553.5,9553.25,9553.0,9572.5,9572.75,9573.0
2020-07-06,NQU0,LONG,2020-07-06 13:35:00+00:00,2020-07-06 13:40:00+00:00,2020-07-06 13:40:00+00:00,10479.5,10480.0,0.5,"{'BASE': 10480.0, 'CONSERVATIVE': 10480.25, 'STRESS': 10480.5}",10470.0,182.69642857142858,1.2736367354900362,"O01 LONG entry 10480.00, stop 10470.00, chandelier 10431.80, exit 10591.75 (EOD); paper PnL BASE +110.75 pts",2020-07-06 20:00:00+00:00,10591.75,10591.75,0.0,EOD,"{'BASE': 10591.75, 'CONSERVATIVE': 10591.5, 'STRESS': 10591.25}",110.75,110.25,109.75,10480.0,10480.25,10480.5,10591.75,10591.5,10591.25
2020-07-16,NQU0,SHORT,2020-07-16 13:35:00+00:00,2020-07-16 13:40:00+00:00,2020-07-16 13:40:00+00:00,10592.0,10592.5,0.5,"{'BASE': 10592.0, 'CONSERVATIVE': 10591.75, 'STRESS': 10591.5}",10599.0,226.55357142857142,-2.3361309018645358,"O01 SHORT entry 10592.00, stop 10599.00, chandelier n/a, exit 10599.00 (STOP); paper PnL BASE -8.00 pts",2020-07-16 13:40:20+00:00,10598.5,10599.0,0.5,STOP,"{'BASE': 10599.0, 'CONSERVATIVE': 10599.25, 'STRESS': 10599.5}",-8.0,-8.5,-9.0,10592.0,10591.75,10591.5,10599.0,10599.25,10599.5
2020-07-24,NQU0,SHORT,2020-07-24 13:35:00+00:00,2020-07-24 13:40:00+00:00,2020-07-24 13:40:00+00:00,10336.0,10336.5,0.5,"{'BASE': 10336.0, 'CONSERVATIVE': 10335.75, 'STRESS': 10335.5}",10432.25,248.78571428571428,-2.7387998946464296,"O01 SHORT entry 10336.00, stop 10432.25, chandelier 10549.79, exit 10433.75 (STOP); paper PnL BASE -98.75 pts",2020-07-24 14:09:33+00:00,10433.25,10433.75,0.5,STOP,"{'BASE': 10433.75, 'CONSERVATIVE': 10434.0, 'STRESS': 10434.25}",-98.75,-99.25,-99.75,10336.0,10335.75,10335.5,10433.75,10434.0,10434.25
2020-07-30,NQU0,SHORT,2020-07-30 13:35:00+00:00,2020-07-30 13:40:00+00:00,2020-07-30 13:40:00+00:00,10597.75,10598.5,0.75,"{'BASE': 10597.75, 'CONSERVATIVE': 10597.5, 'STRESS': 10597.25}",10617.5,245.55357142857142,-1.3227922575324742,"O01 SHORT entry 10597.75, stop 10617.50, chandelier 10829.55, exit 10620.00 (STOP); paper PnL BASE -23.25 pts",2020-07-30 13:47:04+00:00,10619.5,10620.0,0.5,STOP,"{'BASE': 10620.0, 'CONSERVATIVE': 10620.25, 'STRESS': 10620.5}",-23.25,-23.75,-24.25,10597.75,10597.5,10597.25,10620.0,10620.25,10620.5
2020-08-24,NQU0,LONG,2020-08-24 13:35:00+00:00,2020-08-24 13:40:00+00:00,2020-08-24 13:40:00+00:00,11713.5,11714.0,0.5,"{'BASE': 11714.0, 'CONSERVATIVE': 11714.25, 'STRESS': 11714.5}",11681.75,170.58928571428572,1.628767559721086,"O01 LONG entry 11714.00, stop 11681.75, chandelier 11551.91, exit 11680.00 (STOP); paper PnL BASE -35.00 pts",2020-08-24 13:52:21+00:00,11680.0,11680.75,0.75,STOP,"{'BASE': 11680.0, 'CONSERVATIVE': 11679.75, 'STRESS': 11679.5}",-35.0,-35.5,-36.0,11714.0,11714.25,11714.5,11680.0,11679.75,11679.5
2020-09-02,NQU0,LONG,2020-09-02 13:35:00+00:00,2020-09-02 13:40:00+00:00,2020-09-02 13:40:00+00:00,12371.75,12372.25,0.5,"{'BASE': 12372.25, 'CONSERVATIVE': 12372.5, 'STRESS': 12372.75}",12368.25,164.17857142857142,2.10747314815206,"O01 LONG entry 12372.25, stop 12368.25, chandelier n/a, exit 12368.25 (STOP); paper PnL BASE -5.00 pts",2020-09-02 13:40:36+00:00,12368.25,12368.75,0.5,STOP,"{'BASE': 12368.25, 'CONSERVATIVE': 12368.0, 'STRESS': 12367.75}",-5.0,-5.5,-6.0,12372.25,12372.5,12372.75,12368.25,12368.0,12367.75
2020-09-07,NQU0,SHORT,2020-09-07 13:35:00+00:00,2020-09-07 13:40:00+00:00,2020-09-07 13:40:00+00:00,11474.75,11476.25,1.5,"{'BASE': 11474.75, 'CONSERVATIVE': 11474.5, 'STRESS': 11474.25}",11482.75,259.05357142857144,-2.5493950398055483,"O01 SHORT entry 11474.75, stop 11482.75, chandelier n/a, exit 11482.75 (STOP); paper PnL BASE -9.00 pts",2020-09-07 13:43:32+00:00,11481.75,11482.75,1.0,STOP,"{'BASE': 11482.75, 'CONSERVATIVE': 11483.0, 'STRESS': 11483.25}",-9.0,-9.5,-10.0,11474.75,11474.5,11474.25,11482.75,11483.0,11483.25
2020-09-09,NQU0,LONG,2020-09-09 13:35:00+00:00,2020-09-09 13:40:00+00:00,2020-09-09 13:40:00+00:00,11221.0,11222.0,1.0,"{'BASE': 11222.0, 'CONSERVATIVE': 11222.25, 'STRESS': 11222.5}",11207.5,282.9642857142857,2.0324090312470964,"O01 LONG entry 11222.00, stop 11207.50, chandelier n/a, exit 11207.50 (STOP); paper PnL BASE -15.50 pts",2020-09-09 13:45:00+00:00,11207.5,11207.5,0.0,STOP,"{'BASE': 11207.5, 'CONSERVATIVE': 11207.25, 'STRESS': 11207.0}",-15.5,-16.0,-16.5,11222.0,11222.25,11222.5,11207.5,11207.25,11207.0
2020-09-21,NQZ0,SHORT,2020-09-21 13:35:00+00:00,2020-09-21 13:40:00+00:00,2020-09-21 13:40:00+00:00,10733.0,10734.0,1.0,"{'BASE': 10733.0, 'CONSERVATIVE': 10732.75, 'STRESS': 10732.5}",10812.0,374.25,-1.2075500797847858,"O01 SHORT entry 10733.00, stop 10812.00, chandelier 11078.50, exit 10813.75 (STOP); paper PnL BASE -81.75 pts",2020-09-21 13:46:39+00:00,10812.75,10813.75,1.0,STOP,"{'BASE': 10813.75, 'CONSERVATIVE': 10814.0, 'STRESS': 10814.25}",-81.75,-82.25,-82.75,10733.0,10732.75,10732.5,10813.75,10814.0,10814.25
2020-10-02,NQZ0,SHORT,2020-10-02 13:35:00+00:00,2020-10-02 13:40:00+00:00,2020-10-02 13:40:00+00:00,11414.0,11414.5,0.5,"{'BASE': 11414.0, 'CONSERVATIVE': 11413.75, 'STRESS': 11413.5}",11420.5,271.6607142857143,-1.6506786457935052,"O01 SHORT entry 11414.00, stop 11420.50, chandelier 11657.16, exit 11422.75 (STOP); paper PnL BASE -9.75 pts",2020-10-02 13:47:52+00:00,11422.5,11422.75,0.25,STOP,"{'BASE': 11422.75, 'CONSERVATIVE': 11423.0, 'STRESS': 11423.25}",-9.75,-10.25,-10.75,11414.0,11413.75,11413.5,11422.75,11423.0,11423.25
2020-10-15,NQZ0,SHORT,2020-10-15 13:35:00+00:00,2020-10-15 13:40:00+00:00,2020-10-15 13:40:00+00:00,11819.5,11820.0,0.5,"{'BASE': 11819.5, 'CONSERVATIVE': 11819.25, 'STRESS': 11819.0}",11839.0,241.85714285714286,-1.5509350599427125,"O01 SHORT entry 11819.50, stop 11839.00, chandelier n/a, exit 11842.00 (STOP); paper PnL BASE -23.50 pts",2020-10-15 13:41:39+00:00,11841.5,11842.0,0.5,STOP,"{'BASE': 11842.0, 'CONSERVATIVE': 11842.25, 'STRESS': 11842.5}",-23.5,-24.0,-24.5,11819.5,11819.25,11819.0,11842.0,11842.25,11842.5
2020-10-26,NQZ0,SHORT,2020-10-26 13:35:00+00:00,2020-10-26 13:40:00+00:00,2020-10-26 13:40:00+00:00,11644.5,11645.0,0.5,"{'BASE': 11644.5, 'CONSERVATIVE': 11644.25, 'STRESS': 11644.0}",11649.0,226.89285714285714,-1.27260347583618,"O01 SHORT entry 11644.50, stop 11649.00, chandelier n/a, exit 11649.00 (STOP); paper PnL BASE -5.50 pts",2020-10-26 13:40:01+00:00,11648.5,11649.0,0.5,STOP,"{'BASE': 11649.0, 'CONSERVATIVE': 11649.25, 'STRESS': 11649.5}",-5.5,-6.0,-6.5,11644.5,11644.25,11644.0,11649.0,11649.25,11649.5
2020-11-05,NQZ0,LONG,2020-11-05 14:35:00+00:00,2020-11-05 14:40:00+00:00,2020-11-05 14:40:00+00:00,12044.25,12044.75,0.5,"{'BASE': 12044.75, 'CONSERVATIVE': 12045.0, 'STRESS': 12045.25}",11972.75,288.4107142857143,1.8159035946999544,"O01 LONG entry 12044.75, stop 11972.75, chandelier 11823.84, exit 12066.50 (EOD); paper PnL BASE +20.75 pts",2020-11-05 21:00:00+00:00,12066.5,12066.5,0.0,EOD,"{'BASE': 12066.5, 'CONSERVATIVE': 12066.25, 'STRESS': 12066.0}",20.75,20.25,19.75,12044.75,12045.0,12045.25,12066.5,12066.25,12066.0
2020-12-15,NQZ0,LONG,2020-12-15 14:35:00+00:00,2020-12-15 14:40:00+00:00,2020-12-15 14:40:00+00:00,12558.25,12559.0,0.75,"{'BASE': 12559.0, 'CONSERVATIVE': 12559.25, 'STRESS': 12559.5}",12534.0,162.0,2.008799146572385,"O01 LONG entry 12559.00, stop 12534.00, chandelier 12414.25, exit 12534.00 (STOP); paper PnL BASE -26.00 pts",2020-12-15 15:38:43+00:00,12534.0,12534.5,0.5,STOP,"{'BASE': 12534.0, 'CONSERVATIVE': 12533.75, 'STRESS': 12533.5}",-26.0,-26.5,-27.0,12559.0,12559.25,12559.5,12534.0,12533.75,12533.5
2020-12-28,NQH1,LONG,2020-12-28 14:35:00+00:00,2020-12-28 14:40:00+00:00,2020-12-28 14:40:00+00:00,12807.75,12808.25,0.5,"{'BASE': 12808.25, 'CONSERVATIVE': 12808.5, 'STRESS': 12808.75}",12788.75,160.07142857142858,1.7735443624435747,"O01 LONG entry 12808.25, stop 12788.75, chandelier 12656.93, exit 12787.00 (STOP); paper PnL BASE -22.25 pts",2020-12-28 14:50:11+00:00,12787.0,12787.5,0.5,STOP,"{'BASE': 12787.0, 'CONSERVATIVE': 12786.75, 'STRESS': 12786.5}",-22.25,-22.75,-23.25,12808.25,12808.5,12808.75,12787.0,12786.75,12786.5
2021-01-06,NQH1,SHORT,2021-01-06 14:35:00+00:00,2021-01-06 14:40:00+00:00,2021-01-06 14:40:00+00:00,12615.75,12616.5,0.75,"{'BASE': 12615.75, 'CONSERVATIVE': 12615.5, 'STRESS': 12615.25}",12626.0,151.96428571428572,-3.381161439878081,"O01 SHORT entry 12615.75, stop 12626.00, chandelier 12741.71, exit 12628.75 (STOP); paper PnL BASE -14.00 pts",2021-01-06 14:47:20+00:00,12628.0,12628.75,0.75,STOP,"{'BASE': 12628.75, 'CONSERVATIVE': 12629.0, 'STRESS': 12629.25}",-14.0,-14.5,-15.0,12615.75,12615.5,12615.25,12628.75,12629.0,12629.25
2021-01-25,NQH1,LONG,2021-01-25 14:35:00+00:00,2021-01-25 14:40:00+00:00,2021-01-25 14:40:00+00:00,13544.5,13544.75,0.25,"{'BASE': 13544.75, 'CONSERVATIVE': 13545.0, 'STRESS': 13545.25}",13496.0,183.64285714285714,1.4353808431553894,"O01 LONG entry 13544.75, stop 13496.00, chandelier 13369.86, exit 13496.00 (STOP); paper PnL BASE -49.75 pts",2021-01-25 15:36:21+00:00,13496.0,13496.5,0.5,STOP,"{'BASE': 13496.0, 'CONSERVATIVE': 13495.75, 'STRESS': 13495.5}",-49.75,-50.25,-50.75,13544.75,13545.0,13545.25,13496.0,13495.75,13495.5
2021-02-01,NQH1,LONG,2021-02-01 14:35:00+00:00,2021-02-01 14:40:00+00:00,2021-02-01 14:40:00+00:00,13081.25,13081.75,0.5,"{'BASE': 13081.75, 'CONSERVATIVE': 13082.0, 'STRESS': 13082.25}",13047.25,214.375,1.4451169381465225,"O01 LONG entry 13081.75, stop 13047.25, chandelier 12881.62, exit 13045.25 (STOP); paper PnL BASE -37.50 pts",2021-02-01 14:45:46+00:00,13045.25,13046.0,0.75,STOP,"{'BASE': 13045.25, 'CONSERVATIVE': 13045.0, 'STRESS': 13044.75}",-37.5,-38.0,-38.5,13081.75,13082.0,13082.25,13045.25,13045.0,13044.75
2021-02-02,NQH1,LONG,2021-02-02 14:35:00+00:00,2021-02-02 14:40:00+00:00,2021-02-02 14:40:00+00:00,13389.5,13390.0,0.5,"{'BASE': 13390.0, 'CONSERVATIVE': 13390.25, 'STRESS': 13390.5}",13345.0,227.01785714285714,1.1401542053233304,"O01 LONG entry 13390.00, stop 13345.00, chandelier 13266.48, exit 13448.75 (EOD); paper PnL BASE +57.75 pts",2021-02-02 21:00:00+00:00,13448.75,13448.75,0.0,EOD,"{'BASE': 13448.75, 'CONSERVATIVE': 13448.5, 'STRESS': 13448.25}",57.75,57.25,56.75,13390.0,13390.25,13390.5,13448.75,13448.5,13448.25
2021-02-22,NQH1,SHORT,2021-02-22 14:35:00+00:00,2021-02-22 14:40:00+00:00,2021-02-22 14:40:00+00:00,13404.0,13404.5,0.5,"{'BASE': 13404.0, 'CONSERVATIVE': 13403.75, 'STRESS': 13403.5}",13424.75,160.66071428571428,-2.408099670891241,"O01 SHORT entry 13404.00, stop 13424.75, chandelier 13531.16, exit 13425.00 (STOP); paper PnL BASE -22.00 pts",2021-02-22 14:47:28+00:00,13424.75,13425.0,0.25,STOP,"{'BASE': 13425.0, 'CONSERVATIVE': 13425.25, 'STRESS': 13425.5}",-22.0,-22.5,-23.0,13404.0,13403.75,13403.5,13425.0,13425.25,13425.5
2021-03-01,NQH1,LONG,2021-03-01 14:35:00+00:00,2021-03-01 14:40:00+00:00,2021-03-01 14:40:00+00:00,13051.75,13052.25,0.5,"{'BASE': 13052.25, 'CONSERVATIVE': 13052.5, 'STRESS': 13052.75}",13040.5,253.625,1.981532599606303,"O01 LONG entry 13052.25, stop 13040.50, chandelier 13033.38, exit 13274.50 (EOD); paper PnL BASE +221.25 pts",2021-03-01 21:00:00+00:00,13274.5,13274.5,0.0,EOD,"{'BASE': 13274.5, 'CONSERVATIVE': 13274.25, 'STRESS': 13274.0}",221.25,220.75,220.25,13052.25,13052.5,13052.75,13274.5,13274.25,13274.0
2021-03-09,NQH1,LONG,2021-03-09 14:35:00+00:00,2021-03-09 14:40:00+00:00,2021-03-09 14:40:00+00:00,12632.5,12633.5,1.0,"{'BASE': 12633.5, 'CONSERVATIVE': 12633.75, 'STRESS': 12634.0}",12588.75,367.48214285714283,3.1565503464852243,"O01 LONG entry 12633.50, stop 12588.75, chandelier n/a, exit 12588.75 (STOP); paper PnL BASE -45.75 pts",2021-03-09 14:45:00+00:00,12588.75,12588.75,0.0,STOP,"{'BASE': 12588.75, 'CONSERVATIVE': 12588.5, 'STRESS': 12588.25}",-45.75,-46.25,-46.75,12633.5,12633.75,12634.0,12588.75,12588.5,12588.25
2021-03-11,NQH1,LONG,2021-03-11 14:35:00+00:00,2021-03-11 14:40:00+00:00,2021-03-11 14:40:00+00:00,12982.5,12983.25,0.75,"{'BASE': 12983.25, 'CONSERVATIVE': 12983.5, 'STRESS': 12983.75}",12944.0,394.1607142857143,1.4188338122179223,"O01 LONG entry 12983.25, stop 12944.00, chandelier n/a, exit 12941.50 (STOP); paper PnL BASE -42.75 pts",2021-03-11 14:42:53+00:00,12941.5,12942.25,0.75,STOP,"{'BASE': 12941.5, 'CONSERVATIVE': 12941.25, 'STRESS': 12941.0}",-42.75,-43.25,-43.75,12983.25,12983.5,12983.75,12941.5,12941.25,12941.0
2021-03-12,NQH1,SHORT,2021-03-12 14:35:00+00:00,2021-03-12 14:40:00+00:00,2021-03-12 14:40:00+00:00,12805.25,12806.25,1.0,"{'BASE': 12805.25, 'CONSERVATIVE': 12805.0, 'STRESS': 12804.75}",12873.75,408.5357142857143,-1.2807917906429584,"O01 SHORT entry 12805.25, stop 12873.75, chandelier 13207.29, exit 12876.00 (STOP); paper PnL BASE -71.75 pts",2021-03-12 14:50:35+00:00,12875.0,12876.0,1.0,STOP,"{'BASE': 12876.0, 'CONSERVATIVE': 12876.25, 'STRESS': 12876.5}",-71.75,-72.25,-72.75,12805.25,12805.0,12804.75,12876.0,12876.25,12876.5
2021-03-18,NQM1,SHORT,2021-03-18 13:35:00+00:00,2021-03-18 13:40:00+00:00,2021-03-18 13:40:00+00:00,12997.75,12998.5,0.75,"{'BASE': 12997.75, 'CONSERVATIVE': 12997.5, 'STRESS': 12997.25}",13022.25,358.23214285714283,-1.4271180503254846,"O01 SHORT entry 12997.75, stop 13022.25, chandelier 13120.23, exit 12781.75 (EOD); paper PnL BASE +215.00 pts",2021-03-18 20:00:00+00:00,12781.75,12781.75,0.0,EOD,"{'BASE': 12781.75, 'CONSERVATIVE': 12782.0, 'STRESS': 12782.25}",215.0,214.5,214.0,12997.75,12997.5,12997.25,12781.75,12782.0,12782.25
2021-04-01,NQM1,LONG,2021-04-01 13:35:00+00:00,2021-04-01 13:40:00+00:00,2021-04-01 13:40:00+00:00,13289.25,13289.75,0.5,"{'BASE': 13289.75, 'CONSERVATIVE': 13290.0, 'STRESS': 13290.25}",13241.75,256.94642857142856,1.1148222159857835,"O01 LONG entry 13289.75, stop 13241.75, chandelier 13064.55, exit 13314.50 (EOD); paper PnL BASE +23.75 pts",2021-04-01 20:00:00+00:00,13314.5,13314.5,0.0,EOD,"{'BASE': 13314.5, 'CONSERVATIVE': 13314.25, 'STRESS': 13314.0}",23.75,23.25,22.75,13289.75,13290.0,13290.25,13314.5,13314.25,13314.0
