mode,entry_time,exit_time,dir,level,lot,entry,sl0,tp,sl_dist,exit,reason,pnl,r_mult,balance_after,be_moved
historical,2017-01-31 11:30:00,2017-01-31 12:00:00,-1,2,1.09,1.06937,1.07134,1.0644449999999999,0.0019700000000000273,1.07134,sl,-214.730000000003,-1.0,8425.879999999885,False
historical,2017-02-02 09:30:00,2017-02-02 18:15:00,1,0,0.21,1.07948,1.07755,1.084305,0.0019299999999999873,1.07958,sl,2.0999999999997683,0.0518134715025853,8427.979999999885,True
historical,2017-02-09 15:30:00,2017-02-10 09:45:00,-1,1,1.06,1.06815,1.06974,1.064175,0.0015899999999999803,1.064175,tp,421.349999999983,2.4999999999999303,8849.329999999867,True
historical,2017-02-20 15:00:00,2017-02-21 10:30:00,-1,2,1.17,1.06094,1.0628199999999999,1.0562400000000003,0.0018799999999998818,1.0562400000000003,tp,549.8999999999653,2.4999999999999996,9399.229999999832,True
historical,2017-02-23 10:15:00,2017-02-23 12:00:00,1,2,0.5,1.05619,1.05386,1.0620149999999997,0.0023299999999999432,1.05386,sl,-116.49999999999716,-1.0,9282.729999999836,False
historical,2017-02-27 10:00:00,2017-02-27 18:45:00,1,0,0.48,1.05812,1.0562,1.0629199999999996,0.0019199999999999218,1.0629199999999996,tp,230.39999999998525,2.499999999999942,9513.129999999821,True
historical,2017-02-28 11:15:00,2017-02-28 21:45:00,1,1,2.14,1.05916,1.05739,1.0635850000000002,0.0017700000000000493,1.05926,sl,21.399999999997643,0.05649717514123513,9534.529999999819,True
historical,2017-02-28 15:15:00,2017-02-28 20:45:00,1,2,1.57,1.05964,1.05813,1.0634149999999996,0.0015099999999999003,1.05974,sl,15.699999999998273,0.06622516556291098,9550.229999999818,True
historical,2017-03-02 11:45:00,2017-03-03 13:45:00,-1,2,0.6,1.05257,1.0545499999999999,1.0476200000000002,0.0019799999999998708,1.0545499999999999,sl,-118.79999999999224,-1.0,9431.429999999826,False
historical,2017-03-06 15:30:00,2017-03-06 18:30:00,1,0,0.53,1.06009,1.05833,1.06449,0.0017599999999999838,1.05833,sl,-93.27999999999915,-1.0,9338.149999999827,False
historical,2017-03-09 09:30:00,2017-03-09 10:00:00,-1,0,0.24,1.05266,1.05453,1.0479849999999997,0.0018700000000000383,1.05453,sl,-44.88000000000092,-1.0,9293.269999999826,False
historical,2017-03-14 10:00:00,2017-03-15 09:30:00,-1,0,0.55,1.06373,1.06539,1.05958,0.0016599999999999948,1.06363,sl,5.499999999999394,0.06024096385541523,9298.769999999826,True
historical,2017-03-22 08:45:00,2017-03-22 09:30:00,1,1,2.25,1.08099,1.07934,1.0851149999999996,0.0016499999999999293,1.07934,sl,-371.2499999999841,-1.0,8927.519999999842,False
historical,2017-03-22 15:00:00,2017-03-23 03:00:00,1,0,0.42,1.08038,1.0783,1.0855799999999995,0.0020799999999998597,1.0783,sl,-87.35999999999412,-1.0,8840.159999999849,False
historical,2017-03-28 15:30:00,2017-03-28 19:00:00,1,0,0.48,1.08647,1.08466,1.0909950000000004,0.0018100000000000893,1.08466,sl,-86.88000000000429,-1.0,8753.279999999844,False
historical,2017-04-05 14:45:00,2017-04-05 15:15:00,1,0,0.45,1.06814,1.06621,1.072965,0.0019299999999999873,1.06621,sl,-86.84999999999943,-1.0,8666.429999999846,False
historical,2017-04-06 15:30:00,2017-04-07 19:30:00,-1,0,0.22,1.06577,1.06772,1.0608950000000004,0.0019499999999998963,1.0608950000000004,tp,107.24999999999429,2.5,8773.67999999984,True
