mode,entry_time,exit_time,dir,level,lot,entry,sl0,tp,sl_dist,exit,reason,pnl,r_mult,balance_after,be_moved
historical,2014-04-02 15:30:00,2014-04-03 14:30:00,-1,0,0.43,1.37764,1.37939,1.3732650000000002,0.0017499999999999183,1.37939,sl,-75.24999999999649,-1.0,7582.845000000063,False
historical,2014-04-02 16:15:00,2014-04-03 14:30:00,-1,0,0.38,1.37713,1.37908,1.3722549999999996,0.0019500000000001183,1.37908,sl,-74.1000000000045,-1.0,7508.745000000058,False
historical,2014-04-14 10:15:00,2014-04-14 14:30:00,-1,0,0.49,1.38483,1.38634,1.3810550000000004,0.0015099999999999003,1.3810550000000004,tp,184.97499999998234,2.4999999999999263,7693.72000000004,True
historical,2014-05-14 11:45:00,2014-05-15 09:45:00,-1,0,0.49,1.37124,1.37279,1.3673650000000002,0.0015499999999999403,1.3673650000000002,tp,189.87499999999267,2.4999999999999996,7883.595000000033,True
historical,2014-05-20 16:45:00,2014-05-21 02:30:00,-1,0,0.52,1.36912,1.37062,1.3653699999999998,0.0015000000000000568,1.37062,sl,-78.00000000000296,-1.0,7805.59500000003,False
historical,2014-05-22 09:15:00,2014-05-22 09:30:00,-1,0,0.24,1.36629,1.3679,1.3622650000000003,0.0016099999999998893,1.3679,sl,-38.63999999999734,-1.0,7766.955000000033,False
historical,2014-05-29 15:00:00,2014-05-30 15:00:00,-1,0,0.15,1.36023,1.36273,1.3539800000000002,0.0024999999999999467,1.36273,sl,-37.4999999999992,-1.0,7729.455000000034,False
historical,2014-06-11 16:15:00,2014-06-12 16:30:00,-1,0,0.4,1.35313,1.35506,1.3483049999999999,0.0019299999999999873,1.35506,sl,-77.19999999999949,-1.0,7652.255000000034,False
historical,2014-06-17 11:00:00,2014-06-17 14:30:00,1,0,0.36,1.35752,1.35541,1.3627950000000002,0.0021100000000000563,1.35541,sl,-75.96000000000203,-1.0,7576.295000000032,False
historical,2014-08-27 15:45:00,2014-08-27 16:15:00,-1,0,0.46,1.31722,1.31885,1.313145,0.0016300000000000203,1.31885,sl,-74.98000000000093,-1.0,7501.315000000031,False
historical,2014-08-28 10:15:00,2014-08-28 11:45:00,1,0,0.23,1.32122,1.31962,1.3252200000000003,0.0016000000000000458,1.31962,sl,-36.800000000001056,-1.0,7464.51500000003,False
historical,2014-09-10 08:45:00,2014-09-10 14:30:00,1,0,0.42,1.29395,1.29221,1.2982999999999996,0.0017399999999998528,1.29221,sl,-73.07999999999382,-1.0,7391.435000000037,False
historical,2014-09-10 10:15:00,2014-09-10 14:30:00,1,0,0.46,1.29398,1.29239,1.297955,0.0015899999999999803,1.29239,sl,-73.1399999999991,-1.0,7318.295000000037,False
historical,2014-09-17 16:00:00,2014-09-17 17:15:00,1,0,0.46,1.29659,1.29501,1.3005399999999998,0.0015799999999999148,1.29501,sl,-72.67999999999608,-1.0,7245.615000000042,False
historical,2014-10-02 11:45:00,2014-10-02 14:30:00,1,0,0.23,1.26411,1.26255,1.26801,0.0015600000000000058,1.26255,sl,-35.88000000000014,-1.0,7209.7350000000415,False
