entry_i,exit_i,exit_px,reason,sig_i,entry_fill,gross_pips,net_pips,r_mult,stop_pips
6529,6529,103.73044569583246,stop,6528,103.823,-8.355430416753507,-9.255430416753507,-0.9999999999999901,9.2554304167536
6555,6555,103.98292070664228,stop,6554,104.061,-6.907929335773133,-7.807929335773133,-1.0000000000000695,7.807929335772591
6632,6632,103.61143842001958,stop,6631,103.682,-6.156157998042033,-7.056157998042034,-1.0000000000000688,7.056157998041548
6650,6650,103.77908382018286,stop,6649,103.847,-5.891617981713182,-6.791617981713182,-1.0000000000000984,6.791617981712515
6708,6739,104.17550351996803,stop,6707,103.844,34.05035199680384,33.15035199680384,5.027327622503289,6.594030563756473
6745,6756,104.62318334439007,stop,6744,104.468,16.4183344390068,15.518334439006798,1.6426035825475047,9.447400823843022
6779,6817,104.92789987949662,stop,6778,104.913,2.3899879496624976,1.4899879496624977,0.16372399932168863,9.100608071116902
6844,6872,105.44175825904831,stop,6843,105.125,32.57582590483139,31.67582590483139,5.2217716333362345,6.066107085689122
6876,6877,105.5376145671654,stop,6875,105.622,-7.538543283459376,-8.438543283459376,-0.9999999999999811,8.438543283459536
6985,6994,104.93121149450727,stop,6984,104.758,18.221149450727125,17.321149450727127,2.6172351659689337,6.618109704450123
7016,7041,105.36983581465081,stop,7015,105.19,18.883581465081534,17.983581465081535,2.2503265123900125,7.991543167654212
7136,7137,105.7154402334014,stop,7135,105.825,-10.055976659860733,-10.955976659860733,-0.9999999999999588,10.955976659861184
7178,7226,105.97033122367021,stop,7177,105.426,55.3331223670213,54.433122367021305,4.9225430793430185,11.057927069332251
7251,7252,106.52045027164353,stop,7250,106.654,-12.454972835647027,-13.354972835647027,-1.0000000000000102,13.354972835646892
7273,7274,106.78055020182772,stop,7272,106.888,-9.84497981722825,-10.74497981722825,-1.0000000000000628,10.744979817227575
7307,7309,106.87929002379771,stop,7306,106.96,-7.1709976202285475,-8.070997620228548,-0.9999999999999972,8.070997620228571
7328,7358,108.15177886991542,stop,7327,107.168,99.27788699154121,98.3778869915412,11.858440655935764,8.296022204428537
7381,7381,108.58043298317843,stop,7380,108.69200000000001,-10.25670168215811,-11.15670168215811,-0.9999999999999812,11.15670168215832
7393,7399,108.96855438497576,stop,7392,109.082,-10.444561502423255,-11.344561502423256,-1.0000000000000595,11.34456150242258
7471,7497,109.00842127301785,stop,7470,108.869,14.842127301784558,13.942127301784558,1.2458562835150992,11.190799040197307
