experiment_id,family_id,mechanism,feature_causality_pass,parameters,N,mean_pips,PF,expectancy_R,stress_pips,remove_best_pips,status,reason
SW_E015,G03,trend_pullback,PENDING,"{'trend_n': 50, 'pb_n': 20, 'depth': 0.5}|h=None",5,4.54,2.4187,,,,SCAN,signals e=2 g=3
SW_E016,G03,trend_pullback,PENDING,"{'trend_n': 100, 'pb_n': 20, 'depth': 1.0}|h=None",6,18.5833,7.9687,,,,SCAN,signals e=3 g=3
SW_E017,G06,compression_breakout,PENDING,{'ratio': 0.8}|h=5,135,5.1319,1.0953,,,,SCAN,signals e=143 g=160
SW_E018,G06,compression_breakout,PENDING,{'ratio': 0.7}|h=5,49,11.1551,1.2094,,,,SCAN,signals e=41 g=54
SW_E019,G07,displacement_continuation,PENDING,{'mult': 2.0}|h=None,0,,,,,,SCAN,signals e=0 g=0
SW_E020,G07,displacement_continuation,PENDING,{'mult': 2.5}|h=None,0,,,,,,SCAN,signals e=0 g=0
SW_E021,G08,efficiency_extreme,PENDING,"{'k': 10, 'eff': 0.5}|h=10",179,4.7726,1.0574,,,,SCAN,signals e=276 g=295
SW_E022,G08,efficiency_extreme,PENDING,"{'k': 20, 'eff': 0.45}|h=3",109,9.6477,1.1969,,,,SCAN,signals e=123 g=110
SW_E023,G03,trend_pullback,PENDING,"{'trend_n': 50, 'pb_n': 20, 'depth': 0.5}|h=4",4387,-0.6214,0.951,,,,SCAN,signals e=2672 g=2745
SW_E024,G03,trend_pullback,PENDING,"{'trend_n': 100, 'pb_n': 20, 'depth': 1.0}|h=4",3166,-0.3443,0.9737,,,,SCAN,signals e=1698 g=1760
SW_E025,G07,displacement_continuation,PENDING,{'mult': 2.0}|h=2,1008,0.8535,1.0572,,,,SCAN,signals e=553 g=569
SW_E026,G07,displacement_continuation,PENDING,{'mult': 2.5}|h=2,514,1.9481,1.1481,,,,SCAN,signals e=275 g=272
SW_E027,G09,usd_regime,PENDING,"{'z_n': 20, 'z': 1.5}|h=10",189,18.4016,1.2111,,,,SCAN,signals e=170 g=165
SW_E028,G09,usd_regime,PENDING,"{'z_n': 60, 'z': 1.5}|h=10",169,13.7444,1.1632,,,,SCAN,signals e=163 g=143
SW_E029,G10,d1_trend_h4_break,PENDING,"{'fast': 20, 'slow': 50, 'break_n': 20}|h=6",1057,1.7871,1.0644,,,,SCAN,signals e=1536 g=1502
SW_E030,G10,d1_trend_h4_break,PENDING,"{'fast': 50, 'slow': 100, 'break_n': 10}|h=6",1472,1.4327,1.0507,,,,SCAN,signals e=2100 g=2098
SW_E031,G11,vol_regime_transition,PENDING,"{'win': 252, 'ma_n': 20, 'hi': 0.8, 'lo': 0.2}|h=10",44,27.1227,1.3478,,,,SCAN,signals e=34 g=32
SW_E032,G11,vol_regime_transition,PENDING,"{'win': 126, 'ma_n': 50, 'hi': 0.9, 'lo': 0.1}|h=10",40,25.78,1.3032,,,,SCAN,signals e=29 g=26
SW_E033,G12,monday_range_break,PENDING,{'end_hr': 8}|h=None,0,,,,,,SCAN,signals e=0 g=0
SW_E034,G12,monday_range_break,PENDING,{'end_hr': 8}|h=8,833,2.1174,1.1621,,,,SCAN,signals e=417 g=416
