entry_i,exit_i,exit_px,reason,sig_i,entry_fill,gross_pips,net_pips,r_mult,stop_pips
4710,4710,105.19639210488839,stop,4709,105.083,-10.439210488839024,-11.339210488839024,-0.9999999999999851,11.339210488839193
4772,4772,105.64422649348843,stop,4771,105.562,-7.322649348843413,-8.222649348843413,-1.000000000000012,8.222649348843316
4825,4873,105.332,time,4824,105.923,60.00000000000085,59.100000000000854,9.264428247277328,6.379238785444685
4909,4921,105.29047323801827,stop,4908,105.223,-5.847323801826576,-6.747323801826576,-0.795035061706217,8.486825458170625
5017,5039,104.64105947971038,stop,5016,105.369,73.69405202896218,72.79405202896217,10.056475860738281,7.2385250098555005
5122,5122,104.67946485281924,stop,5121,104.598,-7.2464852819237535,-8.146485281923754,-1.0000000000000073,8.146485281923695
5139,5148,104.3967584035153,stop,5138,104.307,-8.075840351530417,-8.975840351530417,-0.999999999999996,8.975840351530453
5170,5171,104.20903925326242,stop,5169,104.114,-8.603925326241324,-9.503925326241324,-0.9999999999999992,9.503925326241331
5240,5241,104.63767903079763,stop,5239,104.55499999999999,-7.367903079763494,-8.267903079763494,-1.000000000000032,8.267903079763231
5257,5258,104.77826450269245,stop,5256,104.652,-11.726450269244992,-12.626450269244993,-0.9999999999999888,12.626450269245135
5291,5291,104.2614584381794,stop,5290,104.095,-15.745843817940397,-16.645843817940396,-1.000000000000003,16.645843817940346
5308,5309,103.56261906322274,stop,5307,103.382,-17.161906322273524,-18.061906322273522,-0.9999999999999953,18.061906322273604
5425,5430,105.0390688871422,stop,5424,104.92999999999999,-10.006888714219997,-10.906888714219997,-1.0000000000000095,10.906888714219894
5450,5458,104.63027468936089,stop,5449,104.536,-8.527468936088667,-9.427468936088667,-1.000000000000025,9.427468936088431
5481,5482,104.36218867453533,stop,5480,104.258,-9.51886745353363,-10.41886745353363,-0.9999999999999521,10.41886745353413
5497,5497,104.15010632095948,stop,5496,104.063,-7.810632095947767,-8.710632095947767,-0.9999999999999984,8.710632095947782
5559,5560,103.85283788216384,stop,5558,103.767,-7.683788216384357,-8.583788216384358,-0.999999999999916,8.583788216385079
5579,5581,103.74994382143542,stop,5578,103.688,-5.294382143542009,-6.1943821435420094,-0.999999999999941,6.1943821435423745
5649,5676,104.14600561979148,stop,5648,104.239,10.19943802085237,9.299438020852369,1.1300841031878466,8.228978705761499
5689,5694,103.95109128139997,stop,5688,103.87,-7.209128139996324,-8.109128139996324,-0.9999999999999137,8.109128139997024
5773,5789,103.95047913527661,stop,5772,104.077,13.552086472338942,12.652086472338942,1.2835521226968871,9.8570881919119
5905,5912,104.09654570120271,stop,5904,103.996,-9.154570120271899,-10.0545701202719,-1.000000000000056,10.054570120271338
5938,5943,103.827549841636,stop,5937,103.744,-7.454984163599931,-8.354984163599932,-1.0000000000000293,8.354984163599687
5977,5990,103.59045944698855,stop,5976,103.68299999999999,10.154055301144638,9.254055301144637,1.0654629375580233,8.685478372766651
