entry_i,exit_i,exit_px,reason,sig_i,entry_fill,gross_pips,net_pips,r_mult,stop_pips
18996,18997,129.9526451425833,stop,18995,129.677,-26.164514258329064,-27.564514258329062,-1.0184743755320522,27.06451425832813
19009,19010,129.45916297691343,stop,19008,129.201,-24.416297691342947,-25.816297691342946,-1.0197501232643684,25.31629769134151
19061,19061,129.7120707463745,stop,19060,129.463,-23.507074637450387,-24.907074637450386,-1.0204858635222989,24.407074637449043
19116,19123,129.85166491598014,stop,19115,129.792,-4.56649159801259,-5.96649159801259,-0.3139865827369286,19.00237757296646
19129,19134,128.76925006248447,stop,19128,128.44199999999998,-31.325006248448517,-32.725006248448516,-1.015515900792905,32.22500624844687
19216,19231,131.35164727836218,stop,19215,131.22799999999998,-10.964727836218913,-12.364727836218913,-0.4125174943770542,29.973826576472796
19262,19262,130.68220454952674,stop,19261,130.387,-28.120454952673413,-29.52045495267341,-1.0172292267924827,29.020454952672786
19281,19281,130.68082543469947,stop,19280,130.315,-35.18254346994638,-36.58254346994638,-1.01385711626501,36.08254346994606
19421,19424,134.260750853422,stop,19420,134.046,-20.075085342199372,-21.47508534219937,-1.023837805274449,20.975085342197126
19512,19512,134.80847805088305,stop,19511,134.60899999999998,-18.54780508830629,-19.94780508830629,-1.0257098422023052,19.447805088304783
19578,19579,136.02688279015592,stop,19577,135.791,-22.18827901559166,-23.58827901559166,-1.02165600994616,23.088279015590317
19594,19598,135.99133127478518,stop,19593,135.826,-15.13312747851785,-16.533127478517848,-0.7597086301450885,21.762458424831063
19644,19644,136.27050615372514,stop,19643,136.04299999999998,-21.35061537251488,-22.75061537251488,-1.0224712886197194,22.25061537251278
19658,19664,135.96331233637318,stop,19657,135.75799999999998,-19.1312336373187,-20.5312336373187,-1.0249610188295497,20.031233637318483
19737,19754,136.59610424464108,stop,19736,136.368,-21.41042446410779,-22.81042446410779,-0.8701758809954281,26.21357930308762
19779,19781,134.29251357340317,stop,19778,133.82999999999998,-44.85135734031758,-46.251357340317576,-1.0109286375108446,45.75135734031614
19837,19837,133.0940568936724,stop,19836,132.64399999999998,-43.605689367240075,-45.00568936724007,-1.011234518712311,44.50568936723952
19861,19862,132.72626966153976,stop,19860,132.29999999999998,-41.22696615397672,-42.62696615397672,-1.0118688822302873,42.12696615397588
