entry_i,exit_i,exit_px,reason,sig_i,entry_fill,gross_pips,net_pips,r_mult,stop_pips
7382,7399,108.90439919673292,stop,7381,108.699,21.439919673292707,20.539919673292708,1.7681011083028548,11.61693727628978
7494,7495,109.18183112929161,stop,7493,109.293,-10.216887070839675,-11.116887070839676,-0.9999999999999878,11.116887070839812
7671,7671,108.8033786143226,stop,7670,108.914,-10.162138567740442,-11.062138567740442,-0.9999999999999414,11.06213856774109
7708,7730,109.57632711876062,stop,7707,109.251,33.432711876061205,32.53271187606121,3.8379417944553382,8.476603767952163
7791,7822,110.56869485374774,stop,7790,110.527,5.069485374774274,4.169485374774274,0.27514236756583765,15.15391981126489
8238,8270,108.75654588324545,stop,8237,108.224,54.15458832454476,53.25458832454476,5.239029052888403,10.164972896110246
8341,8341,109.27422712251949,stop,8340,109.386,-10.277287748050412,-11.177287748050412,-0.9999999999999666,11.177287748050786
8510,8541,109.42489130953525,stop,8509,109.244,18.989130953525546,18.089130953525547,1.2501047395953924,14.470092289531081
8753,8799,109.84737924013642,stop,8752,109.099,75.73792401364159,74.83792401364158,8.284667823549293,9.033304123662466
8863,8869,109.65990639034308,stop,8862,109.74,-7.10936096569128,-8.00936096569128,-1.0000000000000544,8.009360965690846
8996,9001,109.5398464429612,stop,8995,109.631,-8.215355703879368,-9.115355703879368,-1.0000000000000333,9.115355703879064
9075,9077,110.05552848570724,stop,9074,110.12,-5.547151429276198,-6.447151429276198,-1.0000000000000133,6.447151429276112
9200,9227,110.82703906835928,stop,9199,110.491,34.50390683592843,33.603906835928434,3.0461948458308825,11.031437099934626
9519,9558,110.44119107119744,stop,9518,110.291,15.91910711974407,15.019107119744069,1.3376790289285014,11.22773609733164
9656,9672,110.11590097795138,stop,9655,110.099,2.5900977951380355,1.6900977951380356,0.15115027549986654,11.181572706690357
9686,9697,110.3718056548861,stop,9685,110.425,-4.419434511389397,-5.319434511389398,-0.5458821087559775,9.744658097536796
9890,9895,109.57285719294451,stop,9889,109.686,-10.414280705549572,-11.314280705549573,-1.0000000000000147,11.314280705549406
9922,9942,110.16761198188878,stop,9921,109.81700000000001,35.961198188877574,35.061198188877576,4.547152668712575,7.710583027071395
9967,9996,110.61776655314625,stop,9966,110.388,23.876655314624884,22.976655314624885,3.300341501574578,6.96190236788006
10115,10125,109.7542517247931,stop,10114,109.755,0.8251724793097992,-0.07482752069020082,-0.008551274681179416,8.750452240165952
