date,side,entry,stop,target,exit,reason,risk_pips,gross_pips,net_normal_pips,net_stress_pips,year
2015-01-02,SHORT,1.20529,1.2039,1.206755,1.2039,STOP,13.900000000000023,-13.900000000000023,-15.900000000000023,-17.900000000000023,2015
2015-01-06,SHORT,1.19383,1.19331,1.195135,1.19331,STOP,5.199999999998539,-5.199999999998539,-7.199999999998539,-9.19999999999854,2015
2015-01-07,LONG,1.18763,1.18966,1.186795,1.186795,TARGET,20.299999999999763,8.349999999999191,6.349999999999191,4.349999999999191,2015
2015-01-08,SHORT,1.18179,1.18099,1.183225,1.18099,STOP,7.999999999999119,-7.999999999999119,-9.999999999999119,-11.999999999999119,2015
2015-01-09,LONG,1.18127,1.18185,1.1802549999999998,1.18185,STOP,5.800000000000249,-5.800000000000249,-7.800000000000249,-9.80000000000025,2015
2015-01-13,SHORT,1.18245,1.18167,1.183975,1.18167,STOP,7.800000000000029,-7.800000000000029,-9.80000000000003,-11.80000000000003,2015
2015-01-15,SHORT,1.17621,1.17501,1.177515,1.17501,STOP,11.999999999998678,-11.999999999998678,-13.999999999998678,-15.999999999998678,2015
2015-01-19,LONG,1.15684,1.15774,1.15631,1.15774,STOP,8.999999999999009,-8.999999999999009,-10.999999999999009,-12.999999999999009,2015
2015-01-20,LONG,1.15987,1.1609,1.158505,1.1609,STOP,10.300000000000864,-10.300000000000864,-12.300000000000864,-14.300000000000864,2015
2015-01-22,LONG,1.16164,1.16292,1.15983,1.16292,STOP,12.799999999999478,-12.799999999999478,-14.799999999999478,-16.79999999999948,2015
2015-01-28,SHORT,1.13344,1.13265,1.13563,1.13563,TARGET,7.900000000000684,21.899999999999142,19.899999999999142,17.899999999999142,2015
2015-01-29,LONG,1.12943,1.1299,1.127895,1.1299,STOP,4.699999999999704,-4.699999999999704,-6.699999999999704,-8.699999999999704,2015
2015-01-30,LONG,1.13423,1.13526,1.1331950000000002,1.1331950000000002,TARGET,10.299999999998644,10.349999999998971,8.349999999998971,6.349999999998971,2015
